Gene Species Taxon Signature
gene cox135.p1 cox135.p1 0.058331795273007594
gene cox13.p1 cox13.p1 0.05086375462055528
gene cox140.p1 cox140.p1 0.009999245395026585
gene cox151.p1 cox151.p1 0.00853248081202226
gene cox163.p1 cox163.p1 0.008248717021013176
gene cox134.p1 cox134.p1 0.00853248081202226
gene cox144.p1 cox144.p1 0.00853248081202226
gene cox141.p1 cox141.p1 0.00853248081202226
gene cox153.p1 cox153.p1 0.008248717021013176
gene cox133.p1 cox133.p1 0.008248717021013176
gene cox137.p1 cox137.p1 0.008248717021013176
