Gene Species Taxon Signature
gene psba42.p1 psba42.p1 0.052296728068234814
gene psba88.p1 psba88.p1 0.03860836444827486
gene psba8.p1 psba8.p1 0.052296728068234814
gene psba1.p1 psba1.p1 0.052296728068234814
gene psba2.p1 psba2.p1 0.052296728068234814
gene psba102.p1 psba102.p1 0.052296728068234814
gene psba134.p1 psba134.p1 0.052296728068234814
gene psba84.p1 psba84.p1 0.03860836444827486
gene psba15.p1 psba15.p1 0.03647860013566959
gene psba20.p1 psba20.p1 0.03647860013566959
gene psba89.p1 psba89.p1 0.03647860013566959
gene psba126.p1 psba126.p1 0.036105101958599374
gene psba52.p1 psba52.p1 0.02489651385232108
gene psba51.p1 psba51.p1 0.006072472983946263
gene psba10.p1 psba10.p1 0.036105101958599374
gene psba21.p1 psba21.p1 0.036105101958599374
gene psba39.p1 psba39.p1 0.036105101958599374
gene psba38.p1 psba38.p1 0.036105101958599374
gene psba37.p1 psba37.p1 0.036105101958599374
gene psba103.p1 psba103.p1 0.00826047789662478
gene psba90.p1 psba90.p1 0.00826047789662478
gene psba87.p1 psba87.p1 0.006072472983946263
gene psba104.p1 psba104.p1 0.006072472983946263
