Gene Species Taxon Signature
gene psbc74.p1 psbc74.p1 0.07745043814034507
gene psbc75.p1 psbc75.p1 0.07745043814034507
gene psbc191.p1 psbc191.p1 0.07745043814034507
gene psbc80.p1 psbc80.p1 0.07090583017494893
gene psbc229.p1 psbc229.p1 0.02772286257647709
gene psbc95.p1 psbc95.p1 0.02772286257647709
gene psbc26.p1 psbc26.p1 0.02772286257647709
gene psbc293.p1 psbc293.p1 0.02772286257647709
gene psbc76.p1 psbc76.p1 0.02772286257647709
gene psbc182.p1 psbc182.p1 0.02772286257647709
gene psbc1.p1 psbc1.p1 0.017616766982071465
gene psbc3.p1 psbc3.p1 0.017616766982071465
gene psbc292.p1 psbc292.p1 0.017616766982071465
gene psbc114.p1 psbc114.p1 0.00465865330041127
gene psbc225.p1 psbc225.p1 0.017616766982071465
gene psbc4.p1 psbc4.p1 0.017616766982071465
gene psbc291.p1 psbc291.p1 0.017616766982071465
gene psbc2.p1 psbc2.p1 0.017616766982071465
gene psbc5.p1 psbc5.p1 0.017616766982071465
gene psbc78.p1 psbc78.p1 0.017616766982071465
gene psbc83.p1 psbc83.p1 0.017616766982071465
gene psbc77.p1 psbc77.p1 0.017616766982071465
gene psbc125.p1 psbc125.p1 0.017616766982071465
gene psbc193.p1 psbc193.p1 0.016168856058174044
gene psbc117.p1 psbc117.p1 0.016168856058174044
gene psbc54.p1 psbc54.p1 0.014249506742494216
gene psbc218.p1 psbc218.p1 0.014249506742494216
gene psbc79.p1 psbc79.p1 0.012659291400888582
gene psbc119.p1 psbc119.p1 0.012659291400888582
gene psbc235.p1 psbc235.p1 0.00851351206777947
gene psbc124.p1 psbc124.p1 0.00851351206777947
gene psbc215.p1 psbc215.p1 0.00851351206777947
gene psbc84.p1 psbc84.p1 0.00851351206777947
gene psbc116.p1 psbc116.p1 0.00465865330041127
gene psbc275.p1 psbc275.p1 0.00851351206777947
gene psbc31.p1 psbc31.p1 0.00465865330041127
gene psbc109.p1 psbc109.p1 0.00465865330041127
gene psbc216.p1 psbc216.p1 0.00851351206777947
gene psbc255.p1 psbc255.p1 0.0014581285423920594
