Gene Species Taxon Signature
gene cob50.p1 cob50.p1 0.03729576003398728
gene cob59.p1 cob59.p1 0.03729576003398728
gene cob30.p1 cob30.p1 0.1455014688564097
gene cob31.p1 cob31.p1 0.1455014688564097
gene cob29.p1 cob29.p1 0.1455014688564097
gene cob37.p1 cob37.p1 0.03729576003398728
gene cob23.p1 cob23.p1 0.03729576003398728
gene cob26.p1 cob26.p1 0.03729576003398728
gene cob48.p1 cob48.p1 0.03729576003398728
gene cob34.p1 cob34.p1 0.03729576003398728
gene cob33.p1 cob33.p1 0.03729576003398728
gene cob38.p1 cob38.p1 0.03729576003398728
gene cob41.p1 cob41.p1 0.03729576003398728
