Gene Species Taxon Signature
gene rbcl134.p1 rbcl134.p1 0.026968890534327314
gene rbcl128.p1 rbcl128.p1 0.026968890534327314
gene rbcl250.p1 rbcl250.p1 0.015001824392048543
gene rbcl4.p1 rbcl4.p1 0.015001824392048543
gene rbcl712.p1 rbcl712.p1 0.011479843666473501
gene rbcl127.p1 rbcl127.p1 0.026968890534327314
gene rbcl122.p1 rbcl122.p1 0.026968890534327314
gene rbcl126.p1 rbcl126.p1 0.026968890534327314
gene rbcl124.p1 rbcl124.p1 0.026968890534327314
gene rbcl806.p1 rbcl806.p1 0.026968890534327314
gene rbcl805.p1 rbcl805.p1 0.026968890534327314
gene rbcl117.p1 rbcl117.p1 0.026968890534327314
gene rbcl393.p1 rbcl393.p1 0.026968890534327314
gene rbcl298.p1 rbcl298.p1 0.026968890534327314
gene rbcl123.p1 rbcl123.p1 0.026968890534327314
gene rbcl394.p1 rbcl394.p1 0.016145196822575498
gene rbcl828.p1 rbcl828.p1 0.016145196822575498
gene rbcl132.p1 rbcl132.p1 0.011479843666473501
gene rbcl615.p1 rbcl615.p1 0.011479843666473501
gene rbcl508.p1 rbcl508.p1 0.011479843666473501
gene rbcl136.p1 rbcl136.p1 0.011479843666473501
gene rbcl192.p1 rbcl192.p1 0.015001824392048543
gene rbcl622.p1 rbcl622.p1 0.015001824392048543
gene rbcl529.p1 rbcl529.p1 0.015001824392048543
gene rbcl119.p1 rbcl119.p1 0.015001824392048543
gene rbcl621.p1 rbcl621.p1 0.015001824392048543
gene rbcl702.p1 rbcl702.p1 0.015001824392048543
gene rbcl779.p1 rbcl779.p1 0.015001824392048543
gene rbcl565.p1 rbcl565.p1 0.010156313239894884
gene rbcl785.p1 rbcl785.p1 0.010156313239894884
gene rbcl617.p1 rbcl617.p1 0.011035866412722237
gene rbcl483.p1 rbcl483.p1 0.011035866412722237
gene rbcl623.p1 rbcl623.p1 0.009896214388357473
gene rbcl813.p1 rbcl813.p1 0.009896214388357473
gene rbcl384.p1 rbcl384.p1 0.009896214388357473
gene rbcl182.p1 rbcl182.p1 0.009896214388357473
gene rbcl143.p1 rbcl143.p1 0.007626018540394092
gene rbcl53.p1 rbcl53.p1 0.007626018540394092
gene rbcl815.p1 rbcl815.p1 0.0032285524933437478
gene rbcl286.p1 rbcl286.p1 0.0032285524933437478
gene rbcl814.p1 rbcl814.p1 0.0032285524933437478
gene rbcl602.p1 rbcl602.p1 0.004321700830478529
gene rbcl7.p1 rbcl7.p1 0.004321700830478529
gene rbcl521.p1 rbcl521.p1 0.002451770542700377
gene rbcl811.p1 rbcl811.p1 0.002451770542700377
gene rbcl812.p1 rbcl812.p1 0.002451770542700377
gene rbcl206.p1 rbcl206.p1 0.002451770542700377
gene rbcl463.p1 rbcl463.p1 0.004321700830478529
gene rbcl676.p1 rbcl676.p1 0.004321700830478529
gene rbcl148.p1 rbcl148.p1 0.004321700830478529
gene rbcl145.p1 rbcl145.p1 0.004321700830478529
gene rbcl664.p1 rbcl664.p1 0.004321700830478529
gene rbcl1.p1 rbcl1.p1 0.004321700830478529
gene rbcl3.p1 rbcl3.p1 0.004321700830478529
gene rbcl470.p1 rbcl470.p1 0.004321700830478529
gene rbcl603.p1 rbcl603.p1 0.004321700830478529
gene rbcl604.p1 rbcl604.p1 0.004321700830478529
gene rbcl147.p1 rbcl147.p1 0.004321700830478529
gene rbcl614.p1 rbcl614.p1 0.004321700830478529
gene rbcl675.p1 rbcl675.p1 0.004321700830478529
gene rbcl131.p1 rbcl131.p1 0.004321700830478529
gene rbcl504.p1 rbcl504.p1 0.004321700830478529
gene rbcl133.p1 rbcl133.p1 0.004321700830478529
gene rbcl593.p1 rbcl593.p1 0.0029739963102745777
