Gene Species Taxon Signature
gene psab1.p1 psab1.p1 0.21955998355056414
gene psab2.p1 psab2.p1 0.12388358849083617
gene psab15.p1 psab15.p1 0.08440970082048252
gene psab12.p1 psab12.p1 0.08440970082048252
gene psab13.p1 psab13.p1 0.0731808050334408
gene psab61.p1 psab61.p1 0.08440970082048252
gene psab31.p1 psab31.p1 0.08440970082048252
gene psab66.p1 psab66.p1 0.08440970082048252
gene psab78.p1 psab78.p1 0.044205255985805415
gene psab11.p1 psab11.p1 0.05080326476550999
gene psab74.p1 psab74.p1 0.05080326476550999
gene psab47.p1 psab47.p1 0.03805740853837689
gene psab41.p1 psab41.p1 0.026682802889855976
gene psab36.p1 psab36.p1 0.0008075153193776473
gene psab67.p1 psab67.p1 0.026682802889855976
gene psab8.p1 psab8.p1 0.026682802889855976
