Gene Species Taxon Signature
gene 16s29_1181_bp 16s29_1181_bp 0.6761350611596246
gene 16s73_1181_bp 16s73_1181_bp 0.6761350611596246
gene 16s37_1181_bp 16s37_1181_bp 0.6761350611596246
gene 16s38_1181_bp 16s38_1181_bp 0.5422230210033052
gene 16s61_1181_bp 16s61_1181_bp 0.6761350611596246
gene 16s10_1181_bp 16s10_1181_bp 0.6761350611596246
gene 16s12_1181_bp 16s12_1181_bp 0.6761350611596246
gene 16s66_1181_bp 16s66_1181_bp 0.5422230210033052
gene 16s58_1181_bp 16s58_1181_bp 0.5422230210033052
gene 16s36_1181_bp 16s36_1181_bp 0.5422230210033052
gene 16s2_1181_bp 16s2_1181_bp 0.2535992928108836
gene 16s72_1181_bp 16s72_1181_bp 0.2535992928108836
gene 16s13_1181_bp 16s13_1181_bp 0.2535992928108836
gene 16s68_1181_bp 16s68_1181_bp 0.2535992928108836
